  s1-eth1:     1.82 Mb/s In     0.04 Mb/s Out -     85.0 p/s In      72.0 p/s Out
  s1-eth2:     1.25 Mb/s In     0.03 Mb/s Out -     62.0 p/s In      52.0 p/s Out
  s1-eth3:     1.13 Mb/s In     0.02 Mb/s Out -     57.0 p/s In      46.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.75 Mb/s Out -     72.0 p/s In      81.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.30 Mb/s Out -     53.0 p/s In      64.0 p/s Out
  s1-eth6:     0.02 Mb/s In     1.11 Mb/s Out -     46.0 p/s In      56.0 p/s Out
1648366988 total:        4.10 Mb/s In     3.95 Mb/s Out -    373.0 p/s In     360.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     16.0 p/s In      15.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.86 Mb/s In     0.02 Mb/s Out -     46.0 p/s In      35.0 p/s Out
  s1-eth2:     1.24 Mb/s In     0.03 Mb/s Out -     64.0 p/s In      48.0 p/s Out
  s1-eth3:     1.90 Mb/s In     0.04 Mb/s Out -     89.0 p/s In      69.0 p/s Out
  s1-eth4:     0.02 Mb/s In     0.79 Mb/s Out -     36.0 p/s In      43.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.21 Mb/s Out -     50.0 p/s In      63.0 p/s Out
  s1-eth6:     0.04 Mb/s In     1.85 Mb/s Out -     72.0 p/s In      87.0 p/s Out
1648366989 total:        3.47 Mb/s In     3.31 Mb/s Out -    309.0 p/s In     298.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     15.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.78 Mb/s In     0.02 Mb/s Out -     36.0 p/s In      30.0 p/s Out
  s1-eth2:     1.46 Mb/s In     0.03 Mb/s Out -     69.0 p/s In      52.0 p/s Out
  s1-eth3:     1.14 Mb/s In     0.02 Mb/s Out -     61.0 p/s In      43.0 p/s Out
  s1-eth4:     0.02 Mb/s In     0.74 Mb/s Out -     31.0 p/s In      34.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.43 Mb/s Out -     55.0 p/s In      67.0 p/s Out
  s1-eth6:     0.02 Mb/s In     1.06 Mb/s Out -     42.0 p/s In      56.0 p/s Out
1648366990 total:        3.62 Mb/s In     5.28 Mb/s Out -    349.0 p/s In     837.0 p/s Out
    ens4:     0.06 Mb/s In     1.77 Mb/s Out -     28.0 p/s In     522.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.12 Mb/s In     0.03 Mb/s Out -     58.0 p/s In      49.0 p/s Out
  s1-eth2:     0.95 Mb/s In     0.02 Mb/s Out -     49.0 p/s In      39.0 p/s Out
  s1-eth3:     1.41 Mb/s In     0.03 Mb/s Out -     66.0 p/s In      55.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.10 Mb/s Out -     52.0 p/s In      57.0 p/s Out
  s1-eth5:     0.02 Mb/s In     0.94 Mb/s Out -     40.0 p/s In      49.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.39 Mb/s Out -     56.0 p/s In      66.0 p/s Out
1648366991 total:        3.20 Mb/s In     3.10 Mb/s Out -    319.0 p/s In     315.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     22.0 p/s In      27.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.28 Mb/s In     0.03 Mb/s Out -     63.0 p/s In      47.0 p/s Out
  s1-eth2:     0.78 Mb/s In     0.02 Mb/s Out -     42.0 p/s In      36.0 p/s Out
  s1-eth3:     1.05 Mb/s In     0.03 Mb/s Out -     59.0 p/s In      47.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.20 Mb/s Out -     49.0 p/s In      59.0 p/s Out
  s1-eth5:     0.02 Mb/s In     0.78 Mb/s Out -     37.0 p/s In      42.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.03 Mb/s Out -     47.0 p/s In      57.0 p/s Out
1648366992 total:        4.34 Mb/s In     4.19 Mb/s Out -    397.0 p/s In     377.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     21.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.46 Mb/s In     0.03 Mb/s Out -     70.0 p/s In      55.0 p/s Out
  s1-eth2:     1.23 Mb/s In     0.03 Mb/s Out -     64.0 p/s In      46.0 p/s Out
  s1-eth3:     1.54 Mb/s In     0.03 Mb/s Out -     72.0 p/s In      58.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.41 Mb/s Out -     56.0 p/s In      68.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.14 Mb/s Out -     50.0 p/s In      59.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.52 Mb/s Out -     64.0 p/s In      71.0 p/s Out
1648366993 total:        4.75 Mb/s In     4.60 Mb/s Out -    425.0 p/s In     418.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      19.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.29 Mb/s In     0.05 Mb/s Out -    103.0 p/s In      91.0 p/s Out
  s1-eth2:     1.19 Mb/s In     0.03 Mb/s Out -     60.0 p/s In      47.0 p/s Out
  s1-eth3:     1.16 Mb/s In     0.03 Mb/s Out -     60.0 p/s In      45.0 p/s Out
  s1-eth4:     0.05 Mb/s In     2.20 Mb/s Out -     92.0 p/s In      99.0 p/s Out
  s1-eth5:     0.02 Mb/s In     1.19 Mb/s Out -     46.0 p/s In      60.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.10 Mb/s Out -     46.0 p/s In      57.0 p/s Out
1648366994 total:        4.66 Mb/s In     4.44 Mb/s Out -    411.0 p/s In     397.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.84 Mb/s In     0.04 Mb/s Out -     83.0 p/s In      72.0 p/s Out
  s1-eth2:     1.93 Mb/s In     0.04 Mb/s Out -     87.0 p/s In      71.0 p/s Out
  s1-eth3:     0.78 Mb/s In     0.02 Mb/s Out -     47.0 p/s In      31.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.86 Mb/s Out -     75.0 p/s In      84.0 p/s Out
  s1-eth5:     0.04 Mb/s In     1.79 Mb/s Out -     72.0 p/s In      81.0 p/s Out
