      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     405.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     406.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    406.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.78 Mb/s Out -    406.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
1648366335 total:       30.00 Mb/s In    30.04 Mb/s Out -   2522.0 p/s In    2520.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      13.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.78 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     413.0 p/s Out
  s1-eth2:     9.78 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     414.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     413.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.79 Mb/s Out -    414.0 p/s In     422.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.79 Mb/s Out -    415.0 p/s In     423.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.79 Mb/s Out -    414.0 p/s In     422.0 p/s Out
1648366336 total:       30.11 Mb/s In    30.02 Mb/s Out -   2512.0 p/s In    2510.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     21.0 p/s In      19.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.81 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     408.0 p/s Out
  s1-eth2:     9.81 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     409.0 p/s Out
  s1-eth3:     9.81 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     408.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.78 Mb/s Out -    407.0 p/s In     422.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.79 Mb/s Out -    408.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.78 Mb/s Out -    407.0 p/s In     422.0 p/s Out
1648366337 total:       30.03 Mb/s In    30.11 Mb/s Out -   2523.0 p/s In    2523.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     15.0 p/s In      15.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     413.0 p/s Out
  s1-eth2:     9.78 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     413.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     413.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.81 Mb/s Out -    414.0 p/s In     423.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.81 Mb/s Out -    414.0 p/s In     423.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.81 Mb/s Out -    414.0 p/s In     423.0 p/s Out
1648366338 total:       30.01 Mb/s In    31.77 Mb/s Out -   2509.0 p/s In    3008.0 p/s Out
    ens4:     0.02 Mb/s In     1.77 Mb/s Out -     16.0 p/s In     515.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    437.0 p/s In     400.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.21 Mb/s Out -    433.0 p/s In     398.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.21 Mb/s Out -    430.0 p/s In     399.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.80 Mb/s Out -    398.0 p/s In     437.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.78 Mb/s Out -    397.0 p/s In     431.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.78 Mb/s Out -    398.0 p/s In     428.0 p/s Out
1648366339 total:       30.22 Mb/s In    30.19 Mb/s Out -   2800.0 p/s In    2805.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     16.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
