experiment_id,timestamp,host,in_num,in_unit,out_num,out_unit,in_pac_num,in_pac_unit,out_pac_num,out_pac_unit
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366409,s1-eth5,0.42,Mb/s,8.42,Mb/s,711.0,p/s,710.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366409,s1-eth6,0.47,Mb/s,9.40,Mb/s,793.0,p/s,793.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,total,28.74,Mb/s,28.84,Mb/s,4638.0,p/s,4650.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,ens4,0.01,Mb/s,0.01,Mb/s,7.0,p/s,8.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,s1-eth1,7.58,Mb/s,0.39,Mb/s,639.0,p/s,653.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,s1-eth2,9.89,Mb/s,0.49,Mb/s,834.0,p/s,833.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,s1-eth3,9.90,Mb/s,0.50,Mb/s,835.0,p/s,840.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,s1-eth4,0.39,Mb/s,7.66,Mb/s,652.0,p/s,646.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,s1-eth5,0.49,Mb/s,9.88,Mb/s,833.0,p/s,833.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366410,s1-eth6,0.50,Mb/s,9.92,Mb/s,838.0,p/s,837.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,total,25.43,Mb/s,25.43,Mb/s,4108.0,p/s,4120.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,ens4,0.11,Mb/s,0.05,Mb/s,36.0,p/s,38.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366411,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
