  s1-eth1:     0.07 Mb/s In     0.00 Mb/s Out -      5.0 p/s In       5.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.10 Mb/s Out -      6.0 p/s In       6.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
1648366681 total:        0.12 Mb/s In     0.12 Mb/s Out -     50.0 p/s In      58.0 p/s Out
    ens4:     0.05 Mb/s In     0.06 Mb/s Out -     41.0 p/s In      49.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.06 Mb/s In     0.00 Mb/s Out -      5.0 p/s In       4.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.06 Mb/s Out -      4.0 p/s In       5.0 p/s Out
1648366682 total:        0.21 Mb/s In     0.19 Mb/s Out -     48.0 p/s In      48.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     25.0 p/s In      26.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.18 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      10.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.01 Mb/s In     0.16 Mb/s Out -     10.0 p/s In      12.0 p/s Out
1648366683 total:        0.48 Mb/s In     0.43 Mb/s Out -     88.0 p/s In      78.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     24.0 p/s In      23.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.20 Mb/s In     0.01 Mb/s Out -     14.0 p/s In      11.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.24 Mb/s In     0.01 Mb/s Out -     20.0 p/s In      14.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.19 Mb/s Out -     13.0 p/s In      13.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.01 Mb/s In     0.21 Mb/s Out -     17.0 p/s In      17.0 p/s Out
1648366684 total:        0.41 Mb/s In     2.09 Mb/s Out -     76.0 p/s In     558.0 p/s Out
    ens4:     0.02 Mb/s In     1.75 Mb/s Out -     24.0 p/s In     515.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.27 Mb/s In     0.01 Mb/s Out -     22.0 p/s In      14.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.11 Mb/s In     0.00 Mb/s Out -      7.0 p/s In       4.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.22 Mb/s Out -     17.0 p/s In      18.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.11 Mb/s Out -      6.0 p/s In       7.0 p/s Out
1648366685 total:        0.06 Mb/s In     0.08 Mb/s Out -     30.0 p/s In      36.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     25.0 p/s In      30.0 p/s Out
