      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth3:     9.81 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     405.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.80 Mb/s Out -    403.0 p/s In     423.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.78 Mb/s Out -    403.0 p/s In     422.0 p/s Out
1648366378 total:       30.06 Mb/s In    30.03 Mb/s Out -   2492.0 p/s In    2494.0 p/s Out
    ens4:     0.03 Mb/s In     0.02 Mb/s Out -     13.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     404.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
1648366379 total:       30.02 Mb/s In    30.06 Mb/s Out -   2491.0 p/s In    2492.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     12.0 p/s In      11.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     404.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.80 Mb/s Out -    404.0 p/s In     423.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.80 Mb/s Out -    404.0 p/s In     423.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.80 Mb/s Out -    404.0 p/s In     423.0 p/s Out
1648366380 total:       30.02 Mb/s In    30.03 Mb/s Out -   2490.0 p/s In    2491.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    403.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    404.0 p/s In     422.0 p/s Out
