1648366706 total:       14.27 Mb/s In    12.45 Mb/s Out -   1114.0 p/s In    1055.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.32 Mb/s In     0.03 Mb/s Out -     58.0 p/s In      44.0 p/s Out
  s1-eth2:     1.47 Mb/s In     0.03 Mb/s Out -     67.0 p/s In      46.0 p/s Out
  s1-eth3:     1.58 Mb/s In     0.03 Mb/s Out -     68.0 p/s In      44.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.26 Mb/s Out -     48.0 p/s In      55.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.22 Mb/s Out -     52.0 p/s In      57.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.36 Mb/s Out -     49.0 p/s In      60.0 p/s Out
1648366734 total:        4.36 Mb/s In     5.59 Mb/s Out -    348.0 p/s In     785.0 p/s Out
    ens4:     0.04 Mb/s In     1.72 Mb/s Out -     24.0 p/s In     502.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.22 Mb/s In     0.02 Mb/s Out -     52.0 p/s In      34.0 p/s Out
  s1-eth2:     0.53 Mb/s In     0.01 Mb/s Out -     23.0 p/s In      18.0 p/s Out
  s1-eth3:     2.48 Mb/s In     0.04 Mb/s Out -    107.0 p/s In      68.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.10 Mb/s Out -     43.0 p/s In      47.0 p/s Out
  s1-eth5:     0.01 Mb/s In     0.52 Mb/s Out -     20.0 p/s In      22.0 p/s Out
  s1-eth6:     0.05 Mb/s In     2.18 Mb/s Out -     79.0 p/s In      94.0 p/s Out
1648366735 total:        2.15 Mb/s In     1.92 Mb/s Out -    190.0 p/s In     173.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      19.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.38 Mb/s In     0.01 Mb/s Out -     17.0 p/s In      12.0 p/s Out
  s1-eth2:     0.01 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth3:     1.70 Mb/s In     0.03 Mb/s Out -     75.0 p/s In      57.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.33 Mb/s Out -     13.0 p/s In      16.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       2.0 p/s Out
  s1-eth6:     0.04 Mb/s In     1.52 Mb/s Out -     64.0 p/s In      66.0 p/s Out
1648366736 total:        4.44 Mb/s In     4.11 Mb/s Out -    376.0 p/s In     347.0 p/s Out
    ens4:     0.02 Mb/s In     0.14 Mb/s Out -     26.0 p/s In      28.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.40 Mb/s In     0.03 Mb/s Out -     62.0 p/s In      48.0 p/s Out
  s1-eth2:     1.27 Mb/s In     0.03 Mb/s Out -     55.0 p/s In      41.0 p/s Out
  s1-eth3:     1.66 Mb/s In     0.03 Mb/s Out -     77.0 p/s In      55.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.28 Mb/s Out -     54.0 p/s In      57.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.13 Mb/s Out -     45.0 p/s In      50.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.47 Mb/s Out -     57.0 p/s In      68.0 p/s Out
1648366737 total:        3.79 Mb/s In     3.42 Mb/s Out -    297.0 p/s In     268.0 p/s Out
    ens4:     0.03 Mb/s In     0.23 Mb/s Out -     16.0 p/s In      24.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.05 Mb/s In     0.04 Mb/s Out -     88.0 p/s In      64.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     1.64 Mb/s In     0.03 Mb/s Out -     71.0 p/s In      46.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.83 Mb/s Out -     69.0 p/s In      78.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.30 Mb/s Out -     53.0 p/s In      56.0 p/s Out
1648366738 total:        3.25 Mb/s In     4.64 Mb/s Out -    314.0 p/s In     771.0 p/s Out
    ens4:     0.01 Mb/s In     1.74 Mb/s Out -     14.0 p/s In     503.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.86 Mb/s In     0.03 Mb/s Out -     82.0 p/s In      55.0 p/s Out
  s1-eth2:     0.25 Mb/s In     0.01 Mb/s Out -     17.0 p/s In      12.0 p/s Out
  s1-eth3:     1.05 Mb/s In     0.03 Mb/s Out -     72.0 p/s In      49.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.64 Mb/s Out -     63.0 p/s In      72.0 p/s Out
  s1-eth5:     0.01 Mb/s In     0.22 Mb/s Out -     14.0 p/s In      14.0 p/s Out
  s1-eth6:     0.03 Mb/s In     0.98 Mb/s Out -     52.0 p/s In      66.0 p/s Out
1648366739 total:        3.87 Mb/s In     3.46 Mb/s Out -    336.0 p/s In     305.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -      8.0 p/s In      12.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.54 Mb/s In     0.03 Mb/s Out -     68.0 p/s In      50.0 p/s Out
  s1-eth2:     1.80 Mb/s In     0.03 Mb/s Out -     79.0 p/s In      55.0 p/s Out
  s1-eth3:     0.44 Mb/s In     0.01 Mb/s Out -     36.0 p/s In      24.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.38 Mb/s Out -     54.0 p/s In      61.0 p/s Out
  s1-eth5:     0.04 Mb/s In     1.60 Mb/s Out -     63.0 p/s In      71.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.39 Mb/s Out -     28.0 p/s In      32.0 p/s Out
1648366740 total:        4.45 Mb/s In     4.00 Mb/s Out -    431.0 p/s In     395.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In       8.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.36 Mb/s In     0.03 Mb/s Out -     67.0 p/s In      53.0 p/s Out
  s1-eth2:     1.86 Mb/s In     0.04 Mb/s Out -     81.0 p/s In      62.0 p/s Out
  s1-eth3:     1.11 Mb/s In     0.03 Mb/s Out -     92.0 p/s In      57.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.25 Mb/s Out -     52.0 p/s In      61.0 p/s Out
  s1-eth5:     0.04 Mb/s In     1.65 Mb/s Out -     67.0 p/s In      72.0 p/s Out
  s1-eth6:     0.04 Mb/s In     0.99 Mb/s Out -     63.0 p/s In      82.0 p/s Out
